RestaurantName,LocationName,CategoryName,Address,City,State,Zip,Violations,CurrentDemerits,InspectionDemerits
Smith's #376 - Produce,Smith's Grocery Store #376,Produce Market,2385 E Windmill Ln,Las Vegas,Nevada,89123-2037,19,29.0,38.0
STARBUCKS,STARBUCKS COFFEE #11972,Restaurant,6120 N Decatur Blvd,North Las Vegas,Nevada,89031,5,6.0,6.0
Tacos El Autlense,Tacos El Autlense,Restaurant,2162 N Lamb Blvd N,Las Vegas,Nevada,89115-5484,62,89.0,148.0
Lauritas Taco Shop,Lauritas Taco Shop,Restaurant,4620 Boulder Hwy,Las Vegas,Nevada,89121-3017,94,163.0,205.0
ENCORE SERVICE BAR 3,ENCORE HOTEL & CASINO,Bar / Tavern,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,9,0.0,13.0
BEN'S BBQ & SMOKEHOUSE MOBILE,SIN CITY FOOD/SIN CITY WINGS/ BENS BBQ,Food Trucks / Mobile Vendor,949 EMPIRE MESA Way,Henderson,Nevada,89011,40,72.0,92.0
Buffet Asia Kitchen Area,Buffet Asia,Special Kitchen,2380 S Rainbow Blvd,Las Vegas,Nevada,89146-2977,46,121.0,108.0
OUTBACK BAR,OUTBACK STEAKHOUSE 3213,Bar / Tavern,521 N STEPHANIE St,Henderson,Nevada,89014,6,0.0,11.0
South Point Toast Service Station,South Point Hotel & Casino,Bar / Tavern,9777 Las Vegas Blvd,Las Vegas,Nevada,89183-4013,13,0.0,16.0
PARIS POOL BAR,PARIS HOTEL & CASINO,Bar / Tavern,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,25,99.0,53.0
CHINA A GO GO RESTAURANT,CHINA A GO GO,Restaurant,1040 NEVADA HIGHWAY,Boulder City,Nevada,89005,20,34.0,50.0
Rosati's,Rosati's,Restaurant,5725 N Losee Rd,North Las Vegas,Nevada,89081-2517,12,27.0,29.0
LRL- Denny's Restaurant #8687,Laughlin River Lodge - Denny's 8687,Restaurant,2700 S Casino Dr,Laughlin,Nevada,89029-1516,16,0.0,43.0
GREEN VALLEY RANCH MAIN KITCHEN CHINESE,GREEN VALLEY RANCH,Banquet Kitchen,2300 Paseo Verde Pkwy,Henderson,Nevada,89052-2672,34,66.0,81.0
MGM BUFFET HALLWAY PREP,MGM GRAND HOTEL & CASINO,Buffet,3799 S Las Vegas Blvd,Las Vegas,Nevada,89109-4319,29,136.0,77.0
Clark County Plaza Concession,Clark County Fairgrounds,Concessions,1301 Whipple,Logandale,Nevada,89021,18,30.0,37.0
MARQUEE DAYCLUB BAR #1 P6,COSMO - MARQUEE DAYCLUB / NIGHTCLUB,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,28,27.0,55.0
SCOOPS V,SCOOPS V,Restaurant,5040 BOULDER HWY,Las Vegas,Nevada,89122,44,3.0,70.0
COSMO SCARPETTA DISHWASH P3,COSMOPOLITAN RESORT & CASINO,Special Kitchen,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,17,0.0,31.0
DON TORTACO #5,DON TORTACO MEXICAN GRILL #5,Restaurant,7424 S RAINBOW Blvd B,Las Vegas,Nevada,89113,26,30.0,61.0
STARBUCKS/SNACK BAR TARGET STORE #1462,Target Store #1462,Restaurant,6480 Sky Pointe Dr,Las Vegas,Nevada,89131,29,6.0,74.0
CAESARS FOOD COURT LA GLORIA,CAESARS PALACE HOTEL & CASINO,Restaurant,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,11,35.0,26.0
PH AXIS THEATER MERCHANDISE BAR B,PLANET HOLLYWOOD RESORT AND CASINO,Bar / Tavern,3667 S Las Vegas Blvd,Las Vegas,Nevada,89109-4331,11,15.0,19.0
PALMS VIEW - DIAMOND BAR,Palms Casino Resort,Bar / Tavern,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,12,0.0,17.0
Sammy's Food Service Mobile #7,Sammy's Food Service,Food Trucks / Mobile Vendor,58 N 30Th St,Las Vegas,Nevada,89101-4909,27,38.0,77.0
EQUIPO ACADEMY,EQUIPO ACADEMY,Institutional Food Service,4131 E BONANAZA,Las Vegas,Nevada,89110,10,26.0,28.0
DYLAN'S PUB,DYLAN'S GRILL & PUB,Bar / Tavern,4401 E SUNSET Rd,Henderson,Nevada,89014,4,6.0,9.0
OMNI,OMNI,Restaurant,2290 CORPORATE CIRCLE,Henderson,Nevada,89014,9,16.0,16.0
Kids Quest Santa Fe Station Snack Bar,Kids Quest - Santa Fe Station,Snack Bar,4949 N Rancho Dr,Las Vegas,Nevada,89130-3505,12,45.0,20.0
GOLDEN NUGGET EDR,Golden Nugget Las Vegas,Special Kitchen,129 E Fremont St,Las Vegas,Nevada,89101-5603,5,3.0,3.0
LUXOR BANQUET KITCHEN,LUXOR HOTEL & CASINO,Banquet Kitchen,3900 S Las Vegas Blvd,Las Vegas,Nevada,89119-1004,20,11.0,21.0
ENCORE PANTRY 3,ENCORE HOTEL & CASINO,Pantry,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,9,0.0,0.0
Bishop Gorman High School - Gym Concession,Bishop Gorman High School,Concessions,5959 S Hualapai Way,Las Vegas,Nevada,89148-5586,11,24.0,11.0
NEIMAN MARCUS BAKERY DEPARTMENT,NEIMAN-MARCUS @ FASHION SHOW,Kitchen Bakery,3200 S Las Vegas Blvd 100,Las Vegas,Nevada,89109-2612,15,24.0,25.0
"HABIT BURGER GRILL, THE","HABIT BURGER GRILL, THE",Restaurant,4830 BLUE DIAMOND &130,Las Vegas,Nevada,89139,12,14.0,29.0
AMAZING THAI 2,AMAZING THAI 2,Restaurant,7425 S DURANGO 101,Las Vegas,Nevada,89113,1,3.0,3.0
EIFFEL TOWER SOUFFLE BAR,PARIS - EIFFEL TOWER,Bar / Tavern,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,12,21.0,23.0
Walmart Neighborhood Groc - Produce #5259,Walmart Neighborhood Grocery,Produce Market,6151 W Lake Mead Blvd,Las Vegas,Nevada,89108-2660,10,61.0,24.0
Don Snyder Elementary School,Don and Dee Snyder Elementary School,Elementary School Kitchen,8951 W FORD,Las Vegas,Nevada,89011,2,0.0,0.0
WYNN MAIN KITCHEN COOK CHILL,WYNN HOTEL & CASINO,Special Kitchen,3131 S Las Vegas Blvd,Las Vegas,Nevada,89109-1929,13,0.0,12.0
DAVID MONTE'S NY PIZZERIA,DAVID MONTE'S NY PIZZERIA,Restaurant,5585 Simmons St 1,North Las Vegas,Nevada,89031-9010,108,136.0,216.0
Callville Bay Top of Hill Snack Bar,Callville Bay Resort,Snack Bar,100 Callville Bay Marina,Las Vegas,Nevada,89040,21,13.0,47.0
Panda Express #496,Panda Express,Restaurant,3320 E Flamingo Rd,Las Vegas,Nevada,89121-4302,24,6.0,36.0
Kopper Keg North Restaurant,Kopper Keg North,Restaurant,8725 W Deer Springs Way,Las Vegas,Nevada,89149-0416,71,22.0,168.0
PALMS HAUTE PLATES THE ROASTERY BUFFET,Palms Casino Resort,Buffet,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,1,0.0,0.0
JOJO'S JERKY,JOJO'S JERKY,Snack Bar,875 S GRAND CENTRAL Pkwy,Las Vegas,Nevada,89106,2,3.0,3.0
McDonald's #25467,MCDONALD'S #25467,Restaurant,10290 W CHARLESTON Blvd,Las Vegas,Nevada,89135,60,0.0,113.0
Miley Achievement Center School Kitchen,Miley Achievement Center School,Institutional Food Service,245 N Pecos Rd,Las Vegas,Nevada,89101-4897,17,0.0,3.0
COFFEE BEAN & TEA LEAF PALAZZO,COFFEE BEAN & TEA LEAF @ PALAZZO,Restaurant,3325 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,35,99.0,66.0
7-Eleven #25785 - Deli,7-Eleven Food Store #25785,Snack Bar,4482 S Maryland Pkwy,Las Vegas,Nevada,89119-7532,18,0.0,38.0
COSMO GHOST DONKEY BAR FOOD COURT P2,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,3,6.0,6.0
ENCORE PANTRY 6,ENCORE HOTEL & CASINO,Pantry,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,9,0.0,1.0
OHANA HAWAIIAN BBQ - NOODLE KITCHEN,Ohana Hawaiian BBQ,Restaurant,4360 Blue Diamond Rd 108,Las Vegas,Nevada,89139-7783,12,6.0,23.0
Outback Steakhouse Restaurant,Outback Steakhouse,Restaurant,2625 W Craig Rd,North Las Vegas,Nevada,89032-0719,64,102.0,121.0
Sunset Station Costa Del Sol Restaurant,Sunset Station Hotel & Casino,Restaurant,1301 W Sunset Rd,Henderson,Nevada,89014,22,60.0,45.0
SIGNATURE TOWER 3 DISHWASH,"SIGNATURE @ MGM GRAND, THE",Special Kitchen,145 E Harmon Ave,Las Vegas,Nevada,89109-4504,19,72.0,31.0
La Flor De Michoacan,La Flor De Michoacan,Snack Bar,3021 E Charleston Blvd,Las Vegas,Nevada,89104-2324,52,144.0,147.0
SPAGO CAFE RESTAURANT,SPAGO CAFE @ CAESARS,Restaurant,3500 S Las Vegas Blvd G1,Las Vegas,Nevada,89109-8900,39,55.0,81.0
ARIA HERRINGBONE PUSF ACTION STATION 2,ARIA HOTEL & CASINO,Portable Unit,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,1,0.0,0.0
COUSINS MAINE LOBSTER PUSF,COUSINS MAINE LOBSTER PUSF,Portable Unit,506 FREMONT,Las Vegas,Nevada,89102,11,27.0,29.0
Carl's Jr Restaurant #7166,CARL'S JR 7166,Restaurant,4885 W Tropicana Ave,Las Vegas,Nevada,89103-5237,23,6.0,39.0
CIRCLE K SNACK BAR,"Circle K Stores, Inc.",Snack Bar,8545 BLUE DIAMOND,Las Vegas,Nevada,89113,6,23.0,8.0
Terrible's #228 - Deli,Terrible's #228 Convenience Store,Restaurant,4150 S Durango Dr,Las Vegas,Nevada,89147-8600,22,3.0,37.0
ENCORE ROOM SERVICE DISHWASH,ENCORE HOTEL & CASINO,Special Kitchen,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,9,0.0,1.0
VENETIAN BELLINI BAR,Venetian Hotel & Casino,Bar / Tavern,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,4,6.0,12.0
PARIS BURGER BRASSERIE BAR,PARIS HOTEL & CASINO,Bar / Tavern,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,24,33.0,52.0
BELLAGIO MANGIA HEALTHY / FRUIT STN,BELLAGIO HOTEL & CASINO,Restaurant,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,16,27.0,36.0
Wendy's #4868,Wendy's #4868,Restaurant,4560 N Rancho Dr,Las Vegas,Nevada,89130-3408,44,117.0,95.0
TRAILHOUND SMOKERS BBQ CATERING,TRAILHOUND SMOKERS BBQ,Caterer,1370 W CHEYENNE,North Las Vegas,Nevada,89030,1,3.0,3.0
LOMBARDIS ROMAGNA MIA PREP KITCHEN,LOMBARDIS ROMAGNA @ MIRACLE MILE,Special Kitchen,3663 S Las Vegas Blvd,Las Vegas,Nevada,89109-1920,38,87.0,63.0
BALLYS BANQUET KITCHEN,BALLY'S GRAND HOTEL,Banquet Kitchen,3645 S Las Vegas Blvd,Las Vegas,Nevada,89119,1,0.0,0.0
HOOTERS UNDERGROUND BAR,HOOTERS CASINO HOTEL,Bar / Tavern,115 E TROPICANA,Las Vegas,Nevada,89109,4,6.0,6.0
LINQ WHEEL HIGH ROLLER PORT BAR 7,LINQ WHEEL HIGH ROLLER,Portable Unit,3545 S LAS VEGAS,Las Vegas,Nevada,89109,4,9.0,3.0
BELLAGIO LAGO PIZZA ANTIPASTO STATION,BELLAGIO HOTEL & CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,6,20.0,22.0
BELLAGIO DISHROOM 5,BELLAGIO RESORT AND CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,2,0.0,0.0
Great Bun's Retail Sales,Great Buns,Bakery Sales,3270 E Tropicana Ave,Las Vegas,Nevada,89121-7316,13,0.0,19.0
Aliante Buffet Kitchen,Aliante Hotel & Casino,Special Kitchen,7300 Aliante Pkwy,North Las Vegas,Nevada,89084,29,6.0,40.0
HARRAHS HI LIMIT BAR,HARRAHS LV HOTEL & CASINO,Bar / Tavern,3475 S Las Vegas Blvd,Las Vegas,Nevada,89109-8922,13,15.0,18.0
Cardenas Market #28 Warehouse,CARDENAS #28,Produce Market,2400 E BONANZA Rd,Las Vegas,Nevada,89101,1,0.0,0.0
RED ROCK MASSO OSTERIA RESTAURANT,RED ROCK CASINO RESORT & SPA,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,3,8.0,8.0
DESERT ROSE  RESORT KITCHEN,Desert Rose Resort,Special Kitchen,5051 Duke Ellington Way,Las Vegas,Nevada,89119-1143,4,3.0,3.0
Viva El Taco Mexican Food,Viva El Taco Mexican Food,Restaurant,6775 E Lake Mead Blvd B2,Las Vegas,Nevada,89156-1183,38,81.0,81.0
Sams Town Sports Buffet,Sams Town,Buffet,5111 Boulder Hwy,Las Vegas,Nevada,89122-6001,11,0.0,25.0
GREATEST OF ALL TIME (GOAT) BAR,GREATEST OF ALL TIME (GOAT),Bar / Tavern,3805 SAHARA Ave,Las Vegas,Nevada,89102,3,6.0,6.0
MANGO TANGO BAR,MANGO TANGO BAR,Bar / Tavern,2101 S DECATUR,Las Vegas,Nevada,89102,4,9.0,9.0
Sams Town Malumai Pool Bar,Sams Town,Bar / Tavern,5111 Boulder Hwy,Las Vegas,Nevada,89122-6001,14,15.0,18.0
REBEL #71 - SNACK BAR,Rebel #71,Restaurant,1 Village Blvd,Blue Diamond,Nevada,89004,24,54.0,51.0
KRISPY KREME #949,EXCALIBUR  - KRISPY KREME #949,Restaurant,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109-4324,24,24.0,24.0
CENTERPLATE ALCOVE 5.1 SNACK BAR CH,CENTERPLATE @ CONVENTION CENTER,Snack Bar,3150 PARADISE,Las Vegas,Nevada,89109,11,21.0,13.0
K Mart #4369 Snack Bar,K Mart #4369,Snack Bar,2975 E Sahara Ave,Las Vegas,Nevada,89104-4114,3,6.0,6.0
BJ'S KITCHEN,BJ'S LOUNGE,Restaurant,218 E Tropicana Ave,Las Vegas,Nevada,89169-7309,58,55.0,135.0
L a Express Ice Cream,L a Express Ice Cream,Food Trucks / Mobile Vendor,4634 Lancer Way,Las Vegas,Nevada,89121-6119,2,0.0,0.0
7-Eleven #25123 - Deli,7-Eleven Food Store #25123,Snack Bar,6980 Westcliff Dr,Las Vegas,Nevada,89145,19,0.0,45.0
Schwan's Mobile Unit #14633,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,Nevada,89115,3,0.0,0.0
7-Eleven #15829 - Deli,7-Eleven Food Store #15829,Snack Bar,10 N Nellis Blvd,Las Vegas,Nevada,89110-5301,30,72.0,64.0
Krispy Kreme Doughnuts #4520,Fitzgeralds Hotel - Krispy Kreme,Snack Bar,301 Fremont St,Las Vegas,Nevada,89101-5600,8,18.0,18.0
MB CC LEVEL 3 BANQUET SERVICE STATIONS,MANDALAY BAY HOTEL & CASINO,Pantry,3950 S Las Vegas Blvd,Las Vegas,Nevada,89119-1005,17,63.0,30.0
Dreamers Lounge,Dreamers Lounge,Bar / Tavern,2381 E Windmill Ln,Las Vegas,Nevada,89123-2068,17,5.0,36.0
Flamingos Club Bar #2,Flamingos Club,Bar / Tavern,1700 E Flamingo Rd,Las Vegas,Nevada,89119-5275,1,1.0,1.0
"Bunkhouse Bar, The","Bunkhouse, The",Bar / Tavern,124 S 11Th St,Las Vegas,Nevada,89101-7161,18,50.0,39.0
IGT Las Vegas - Pizza - Deleted 2/27/17 CC,IGT Las Vegas Manufacturing Facili,Banquet Support,6355 S Buffalo Dr,Las Vegas,Nevada,89113-2133,10,0.0,10.0
The Bar,"Bar, The",Bar / Tavern,1987 N Nellis Blvd,Las Vegas,Nevada,89115-3647,9,6.0,25.0
OUTBACK STEAKHOUSE LOUNGE,OUTBACK STEAKHOUSE #3218 @ CASINO ROYALE,Bar / Tavern,3411 S Las Vegas Blvd,Las Vegas,Nevada,89109-8955,13,21.0,24.0
Mediterranean Country Market Deli,Mediterranean Country Market,Snack Bar,3280 E Tropicana Ave A,Las Vegas,Nevada,89121-7344,27,80.0,56.0
Lucky Star Super Buffet,Lucky Star Super Buffet,Buffet,617 Mall Ring Cir,Henderson,Nevada,89014-8621,6,24.0,22.0
ORACLE MANSION- Downstairs Bar - DELETED 9/15,ORACLE MANSION,Bar / Tavern,3500 W Naples Dr,Las Vegas,Nevada,89103-5607,23,72.0,66.0
Baskin Robbins #332339,Baskin Robbins #332339,Restaurant,505 E Windmill Ln,Las Vegas,Nevada,89123-1869,3,6.0,6.0
La Takiza,La Takiza,Restaurant,3762 E Flamingo Rd,Las Vegas,Nevada,89121-4921,11,2.0,24.0
PH PORTABLE BANQUET BARS - 35,PLANET HOLLYWOOD RESORT AND CASINO,Portable Bar,3667 S Las Vegas Blvd,Las Vegas,Nevada,89109-4331,8,21.0,9.0
MCDONALDS #5539 MONTE CARLO,MCDONALDS #5539 @ MONTE CARLO,Restaurant,3770 S Las Vegas Blvd,Las Vegas,Nevada,89109-4337,32,64.0,62.0
MARQUEE DAYCLUB PORT BAR WEST,COSMO - MARQUEE DAYCLUB / NIGHTCLUB,Portable Unit,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,13,0.0,20.0
BUCA DI BEPPO RESTAURANT,EXCALIBUR - BUCA DI BEPPO,Restaurant,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109,16,30.0,28.0
CHEFS FITNESS KITCHEN,CHEFS FITNESS KITCHEN,Restaurant,5875 S RAINBOW Blvd 104,Las Vegas,Nevada,89118,27,30.0,64.0
Watcha Need Mini Mart Pizza Area,Watcha Need Mini Mart,Restaurant,628 S Las Vegas Blvd,Las Vegas,Nevada,89101-6624,4,9.0,7.0
CHICAGO HOT DOG,CHICAGO HOT DOG @ SHOWCASE MALL,Restaurant,3785 S Las Vegas Blvd #205,Las Vegas,Nevada,89109,15,0.0,27.0
Prima Tacos Hot Truck,Prima Tacos,Food Trucks / Mobile Vendor,439 Rock Quarry Way,North Las Vegas,Nevada,89032,3,9.0,9.0
"BUZZ CATERING, THE","BUZZ CATERING, THE",Caterer,1114 S RAINBOW Blvd,Las Vegas,Nevada,89117,1,3.0,3.0
VENETIAN B&B BURGER FRY LINE,VENETIAN HOTEL & CASINO,Special Kitchen,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,4,15.0,13.0
"CUP, THE","CUP, THE",Snack Bar,355 W MESQUITE,Mesquite,Nevada,89027,1,0.0,0.0
CREAM FACTORY,CREAM FACTORY,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,1,0.0,0.0
NEW JUGOO CHINESE RESTAURANT - DELETED,NEW JUGOO CHINESE RESTAURANT,Restaurant,4747 S MARYLAND Pkwy,Las Vegas,Nevada,89139,61,54.0,132.0
GIANT FOOD CENTER II SNACK BAR,GIANT FOOD CENTER II,Snack Bar,1000 N RANCHO,Las Vegas,Nevada,89106,20,12.0,51.0
RESTAURANT,BUNKHOUSE,Restaurant,124 S 11TH St,Las Vegas,Nevada,89101,4,0.0,8.0
DOUBLE DOWN DOGS PUSF,DOUBLE DOWN DOGS @ FANTASTIC INDOOR SWAP MEET,Portable Unit,1717 S DECATUR D61,Las Vegas,Nevada,89102,1,0.0,0.0
TMA - EA1 CEN KIT SERVICE AREA,LEVY @ T-MOBILE ARENA,Bar / Tavern,3780 S LAS VEGAS,Las Vegas,Nevada,89109,1,6.0,0.0
MIRAGE BUFFET ASIAN,MIRAGE HOTEL & CASINO,Buffet,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,31,8.0,71.0
BONEFISH GRILL BAR,BONEFISH GRILL,Bar / Tavern,6527 S LAS VEGAS Blvd,Las Vegas,Nevada,89119,13,15.0,26.0
Levy Restaurant @ LVMS F - 5,Levy Restaurants @ LVMS,Restaurant,7000 N Las Vegas Blvd,Las Vegas,Nevada,89115-1708,17,53.0,27.0
PASTA IDEA,PASTA IDEA,Restaurant,7668 LAKE MEAD Blvd #107,Las Vegas,Nevada,89128,18,3.0,49.0
HEALTH 360,HEALTH 360,Snack Bar,1775 E TROPICANA 9,Las Vegas,Nevada,89119,3,3.0,3.0
MR. CHOPSTIX,MR. CHOPSTIX,Restaurant,6135 S FORT APACHE 404,Las Vegas,Nevada,89148,11,12.0,26.0
ARIZONA CHARLIES NAUGHTY LADIES,Arizona Charlie's,Bar / Tavern,740 S Decatur Blvd,Las Vegas,Nevada,89107-3907,25,36.0,45.0
PARIS CABARET LOUNGE,PARIS HOTEL & CASINO,Bar / Tavern,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,55,113.0,114.0
Wienerschnitzel #777,Wienerschnitzel #777,Restaurant,2060 E Serene Ave #101,Las Vegas,Nevada,89123-3214,33,60.0,66.0
TI LITTLE RICHIES DELI PREP KITCHEN,TREASURE ISLAND HOTEL & CASINO,Vegetable Prep,3300 S Las Vegas Blvd,Las Vegas,Nevada,89109-8916,17,27.0,20.0
PAPA MURPHY'S TAKE & BAKE PIZZA,PAPA MURPHY'S TAKE & BAKE PIZZA,Restaurant,175 N STEPHANIE 160,Henderson,Nevada,89052,11,18.0,25.0
PICANHA STEAK TRUCK MOBILE,PICANHA STEAK TRUCK MOBILE,Food Trucks / Mobile Vendor,4181 E PIONEER Ave,Las Vegas,Nevada,89127,14,24.0,47.0
JFE SUSHI,JFE,Snack Bar,4600 E SUNSET,Henderson,Nevada,89014,11,20.0,28.0
Subway #52353,Subway #52353,Restaurant,1300 W Sunset Rd,Henderson,Nevada,89014,41,27.0,71.0
DOTTY'S #36 SNACK BAR,DOTTY'S #36,Snack Bar,6060 W Windmill Ln,Las Vegas,Nevada,89139-6458,9,6.0,12.0
COSMO CHANDELIER MEZZ BAR P1.5,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,15,0.0,23.0
TROPICAL SMOOTHIE CAFE #NV14,TROPICAL SMOOTHIE CAFE NV14,Restaurant,9440 W Sahara Ave 105,Las Vegas,Nevada,89117-8818,50,156.0,87.0
Honey Pig Korean BBQ,Honey Pig Korean BBQ,Restaurant,4725 W Spring Mountain Rd,Las Vegas,Nevada,89102-8712,164,179.0,342.0
PIZZA MY DEAR,PIZZA MY DEAR,Restaurant,9320 W FLAMINGO,Las Vegas,Nevada,89147,8,26.0,14.0
CAESARS FOOD COURT DIFARA PIZZA,CAESARS PALACE HOTEL & CASINO,Restaurant,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,41,116.0,105.0
NIU-GU NOODLE HOUSE,NIU-GU NOODLE HOUSE,Restaurant,3400 S JONES,Las Vegas,Nevada,89186,88,9.0,154.0
Las Vegas This and That,PRIMM OUTLET MALL - LV THIS AND THAT I,Portable Unit,32100 S Las Vegas Blvd,Primm,Nevada,89019-7028,9,21.0,10.0
JIMMY JOHN'S,JIMMY JOHN'S,Restaurant,9985 S EASTERN 100,Las Vegas,Nevada,89183,15,20.0,36.0
Willows of Henderson Golf Cart,Willows of Henderson,Self-Service Food Truck,2020 W Horizon Ridge Pkwy,Henderson,Nevada,89012-2519,11,0.0,13.0
YONG KANG STREET RESTAURANT,PARIS - YONG KANG STREET,Restaurant,3655 S LAS VEGAS,Las Vegas,Nevada,89109,25,38.0,62.0
BOOTLEGGER LOUNGE,Bootlegger Restaurant/Lounge,Bar / Tavern,7700 S Las Vegas Blvd 1,Las Vegas,Nevada,89123-1757,29,62.0,51.0
REBEL #37 - SNACK BAR,Rebel Oil #37,Restaurant,2810 N Rancho Dr,Las Vegas,Nevada,89130-3309,35,78.0,80.0
TAQUERIA CANONITA HOTLINE,TAQUERIA CANONITA @ GRAND CANAL,Special Kitchen,3377 S Las Vegas Blvd 2160,Las Vegas,Nevada,89109-8941,21,33.0,56.0
AQUAKNOX OYSTER BAR,AQUAKNOX @ GRAND CANAL,Restaurant,3355 S LAS VEGAS Blvd 2160,Las Vegas,Nevada,89109,25,5.0,51.0
Las Vegas Rescue Mission Dining Hl,Las Vegas Rescue Mission,Restaurant,500 W Bonanza,Las Vegas,Nevada,89106,29,51.0,71.0
Rio Rotunda Walk Up Bar,Rio Suites Hotel,Bar / Tavern,3700 W Flamingo Rd,Las Vegas,Nevada,89103-4043,10,0.0,6.0
SUPREME BURRITO,SUPREME BURRITO,Restaurant,3528 S MARYLAND 10,Las Vegas,Nevada,89169,32,3.0,63.0
Southern Wine and Spirits Bar,Southern Wine and Spirits,Bar / Tavern,8400 S Jones Blvd,Las Vegas,Nevada,89139-6803,12,0.0,26.0
Circle K Store #8650 - Deli,Circle K Store,Snack Bar,4375 Spring Mountain Rd,Las Vegas,Nevada,89102-8701,36,3.0,66.0
Denny's #7914 - Bakery,Dennys,Kitchen Bakery,2380 E Tropicana Ave,Las Vegas,Nevada,89119-6574,13,30.0,23.0
Burger King #7429,Burger King #7429,Restaurant,8564 W Lake Mead Blvd,Las Vegas,Nevada,89128-7630,30,80.0,54.0
Kwong Yet Lung / Oasis Meat / Fish Sale,International Market Place,Meat/Poultry/Seafood,5000 S Decatur Blvd,Las Vegas,Nevada,89118-1515,57,48.0,132.0
LINO'S PIZZA & ITALIAN CUISINE,LINO'S PIZZA & ITALIAN CUISINE,Restaurant,7240 W AZURE,Las Vegas,Nevada,89130,6,9.0,9.0
CITIZENS BACK PREP/COLD STORAGE/DISHWASH,CITIZENS KITCHEN & BAR @ MANDALAY BAY,Special Kitchen,3950 S LAS VEGAS Blvd,Las Vegas,Nevada,89119,2,3.0,3.0
MI TIENDTA - DELETED,MI TIENDITA - EASTERN INDOOR SWAPMEET,Confection,1560 N Eastern Ave,Las Vegas,Nevada,89101-1594,1,0.0,0.0
WYNN MIZUMI EXHIBITION COOKING,WYNN HOTEL & CASINO,Restaurant,3131 S Las Vegas Blvd,Las Vegas,Nevada,89109-1929,9,0.0,10.0
OJAX RESTAURANT,OJAX,Restaurant,4760 W SAHARA,Las Vegas,Nevada,89102,16,32.0,44.0
CREAMISTRY,CREAMISTRY,Restaurant,7325 S RAINBOW 110,Las Vegas,Nevada,89139,3,9.0,9.0
EL PUPLO LOCO,EL PULPO LOCO,Restaurant,2930 N LAS VEGAS Blvd,North Las Vegas,Nevada,89030,15,40.0,48.0
SBS CONCESSION BAR #6,SAM BOYD STADIUM,Bar / Tavern,7000 RUSSELL,Las Vegas,Nevada,89122,10,18.0,24.0
Del Taco #382,Del Taco #382,Restaurant,898 S Boulder Hwy,Henderson,Nevada,89015-7502,42,48.0,78.0
CHIMERA GOLF CLUB GOLF CART #2,CHIMERA GOLF CLUB,Self-Service Food Truck,901 OLIVIA Pkwy,Henderson,Nevada,89011,9,21.0,7.0
HUFFMAN'S CHICKEN - PREP/STORAGE,HUFFMAN'S CHICKEN,Special Kitchen,750 S RAMPART 16,Las Vegas,Nevada,89145,8,8.0,8.0
CASA DON JUAN RESTAURANT,CASA DON JUAN,Restaurant,1204 S Main St,Las Vegas,Nevada,89104-1029,107,54.0,271.0
GREEN VALLEY RANCH BUFFET - MONGOLIAN,GREEN VALLEY RANCH,Buffet,2300 Paseo Verde Pkwy,Henderson,Nevada,89052-2672,16,50.0,37.0
FARM BASKET MOBILE,FARM BASKET MOBILE,Food Trucks / Mobile Vendor,6148 W CHARLESTON Blvd,Las Vegas,Nevada,89146-1125,1,0.0,0.0
