RestaurantName,LocationName,CategoryName,Address,City,State,Zip,CurrentGrade
7-Eleven #15829 - Deli,7-Eleven Food Store #15829,Snack Bar,10 N Nellis Blvd,Las Vegas,Nevada,89110-5301,A
7-Eleven #25123 - Deli,7-Eleven Food Store #25123,Snack Bar,6980 Westcliff Dr,Las Vegas,Nevada,89145,A
7-Eleven #25785 - Deli,7-Eleven Food Store #25785,Snack Bar,4482 S Maryland Pkwy,Las Vegas,Nevada,89119-7532,A
AMAZING THAI 2,AMAZING THAI 2,Restaurant,7425 S DURANGO 101,Las Vegas,Nevada,89113,A
ARIA HERRINGBONE PUSF ACTION STATION 2,ARIA HOTEL & CASINO,Portable Unit,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
Aliante Buffet Kitchen,Aliante Hotel & Casino,Special Kitchen,7300 Aliante Pkwy,North Las Vegas,Nevada,89084,A
BALLYS BANQUET KITCHEN,BALLY'S GRAND HOTEL,Banquet Kitchen,3645 S Las Vegas Blvd,Las Vegas,Nevada,89119,A
BELLAGIO DISHROOM 5,BELLAGIO RESORT AND CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BELLAGIO LAGO PIZZA ANTIPASTO STATION,BELLAGIO HOTEL & CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BELLAGIO MANGIA HEALTHY / FRUIT STN,BELLAGIO HOTEL & CASINO,Restaurant,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BEN'S BBQ & SMOKEHOUSE MOBILE,SIN CITY FOOD/SIN CITY WINGS/ BENS BBQ,Food Trucks / Mobile Vendor,949 EMPIRE MESA Way,Henderson,Nevada,89011,A
BJ'S KITCHEN,BJ'S LOUNGE,Restaurant,218 E Tropicana Ave,Las Vegas,Nevada,89169-7309,A
BUCA DI BEPPO RESTAURANT,EXCALIBUR - BUCA DI BEPPO,Restaurant,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
"BUZZ CATERING, THE","BUZZ CATERING, THE",Caterer,1114 S RAINBOW Blvd,Las Vegas,Nevada,89117,A
Baskin Robbins #332339,Baskin Robbins #332339,Restaurant,505 E Windmill Ln,Las Vegas,Nevada,89123-1869,A
Bishop Gorman High School - Gym Concession,Bishop Gorman High School,Concessions,5959 S Hualapai Way,Las Vegas,Nevada,89148-5586,A
Buffet Asia Kitchen Area,Buffet Asia,Special Kitchen,2380 S Rainbow Blvd,Las Vegas,Nevada,89146-2977,A
"Bunkhouse Bar, The","Bunkhouse, The",Bar / Tavern,124 S 11Th St,Las Vegas,Nevada,89101-7161,A
CAESARS FOOD COURT LA GLORIA,CAESARS PALACE HOTEL & CASINO,Restaurant,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
CENTERPLATE ALCOVE 5.1 SNACK BAR CH,CENTERPLATE @ CONVENTION CENTER,Snack Bar,3150 PARADISE,Las Vegas,Nevada,89109,A
CHEFS FITNESS KITCHEN,CHEFS FITNESS KITCHEN,Restaurant,5875 S RAINBOW Blvd 104,Las Vegas,Nevada,89118,A
CHICAGO HOT DOG,CHICAGO HOT DOG @ SHOWCASE MALL,Restaurant,3785 S Las Vegas Blvd #205,Las Vegas,Nevada,89109,A
CHINA A GO GO RESTAURANT,CHINA A GO GO,Restaurant,1040 NEVADA HIGHWAY,Boulder City,Nevada,89005,A
CIRCLE K SNACK BAR,"Circle K Stores, Inc.",Snack Bar,8545 BLUE DIAMOND,Las Vegas,Nevada,89113,A
COFFEE BEAN & TEA LEAF PALAZZO,COFFEE BEAN & TEA LEAF @ PALAZZO,Restaurant,3325 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,A
COSMO GHOST DONKEY BAR FOOD COURT P2,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO SCARPETTA DISHWASH P3,COSMOPOLITAN RESORT & CASINO,Special Kitchen,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COUSINS MAINE LOBSTER PUSF,COUSINS MAINE LOBSTER PUSF,Portable Unit,506 FREMONT,Las Vegas,Nevada,89102,A
